2016-06-18 21:53:59.628 [localhost-startStop-1] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@76b9687d, org.springframework.security.web.context.SecurityContextPersistenceFilter@2f0837e1, org.springframework.security.web.header.HeaderWriterFilter@ffd9ca4, org.springframework.security.web.authentication.logout.LogoutFilter@41e1097f, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2fb8899d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@f23fe9a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6cd85b66, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@24c6c8a1, org.springframework.security.web.session.SessionManagementFilter@5d0e1359, org.springframework.security.web.access.ExceptionTranslationFilter@9753fcd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@773b0f5c]
2016-06-18 21:54:00.014 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@31d7b7bf: startup date [Sat Jun 18 21:53:50 CST 2016]; root of context hierarchy
2016-06-18 21:54:00.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/customer-add],methods=[POST]}" onto public java.lang.String cn.tendata.crm.controllers.CustomerController.add(cn.tendata.crm.entities.Customer)
2016-06-18 21:54:00.186 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/customer-add],methods=[GET]}" onto public java.lang.String cn.tendata.crm.controllers.CustomerController.add()
2016-06-18 21:54:00.207 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search_customer]}" onto public java.lang.String cn.tendata.crm.controllers.CustomerController.search(java.lang.String,org.springframework.ui.ModelMap)
2016-06-18 21:54:00.237 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/customer-modify],methods=[POST]}" onto public java.lang.String cn.tendata.crm.controllers.CustomerController.modify(cn.tendata.crm.entities.Customer)
2016-06-18 21:54:00.260 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/customer-modify/{csId}],methods=[GET]}" onto public java.lang.String cn.tendata.crm.controllers.CustomerController.modify(int,org.springframework.ui.ModelMap)
2016-06-18 21:54:00.267 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/allCustomerWithPage/{page}]}" onto public java.lang.String cn.tendata.crm.controllers.CustomerController.getAllWithPage(java.lang.Integer,org.springframework.ui.ModelMap)
2016-06-18 21:54:00.274 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/department-add],methods=[GET]}" onto public java.lang.String cn.tendata.crm.controllers.DepartmentController.add()
2016-06-18 21:54:00.281 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/department-remove/{dpId}]}" onto public java.lang.String cn.tendata.crm.controllers.DepartmentController.remove(int)
2016-06-18 21:54:00.315 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/department-modify]}" onto public java.lang.String cn.tendata.crm.controllers.DepartmentController.modify(cn.tendata.crm.entities.Department)
2016-06-18 21:54:00.363 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/department-modify/{dpId}],methods=[GET]}" onto public java.lang.String cn.tendata.crm.controllers.DepartmentController.modify(int,org.springframework.ui.ModelMap)
2016-06-18 21:54:00.385 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/department_getAll]}" onto public java.lang.String cn.tendata.crm.controllers.DepartmentController.getAllDepartment(org.springframework.ui.ModelMap)
2016-06-18 21:54:00.410 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/home]}" onto public java.lang.String cn.tendata.crm.controllers.HomeController.home()
2016-06-18 21:54:00.416 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login]}" onto public java.lang.String cn.tendata.crm.controllers.LoginController.login()
2016-06-18 21:54:00.425 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search_order]}" onto public java.lang.String cn.tendata.crm.controllers.OrderController.search(java.lang.String,java.lang.String,org.springframework.ui.ModelMap)
2016-06-18 21:54:00.471 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order_getAll/{page}]}" onto public java.lang.String cn.tendata.crm.controllers.OrderController.getAllOrder(java.lang.Integer,org.springframework.ui.ModelMap)
2016-06-18 21:54:00.479 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/product_statistics/{pId}]}" onto public java.lang.String cn.tendata.crm.controllers.OrderController.getStatistics(int,org.springframework.ui.ModelMap)
2016-06-18 21:54:00.505 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/product-add],methods=[GET]}" onto public java.lang.String cn.tendata.crm.controllers.ProductController.add()
2016-06-18 21:54:00.552 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/product-add],methods=[POST]}" onto public java.lang.String cn.tendata.crm.controllers.ProductController.add(cn.tendata.crm.entities.Product)
